date,Froment,Seigle,Orge,Avoine
05 mai 1520,1.5,0.81,0.63,0.88
02 juin 1520,1.75,0.94,0.75,1.13
07 juillet 1520,1.75,0.88,0.75,1.25
04 août 1520,1.75,0.88,0.75,1.25
01 septembre 1520,1.81,0.94,0.75,1.56
06 octobre 1520,2,1.38,1.25,1.75
03 novembre 1520,2.13,1.44,1.25,1.69
01 décembre 1520,2.13,1.56,1.25,1.75
05 janvier 1521,2.13,1.5,1.25,1.75
01 février 1521,2.06,1.38,1.38,1.77
02 mars 1521,2.1,1.44,1.5,1.75
06 avril 1521,2.13,1.5,1.56,1.69
04 mai 1521,3.13,,2,1.63
01 juin 1521,5,4,2.5,1.69
06 juillet 1521,5.25,2.5,1.5,1.31
03 août 1521,4.38,2.25,1.19,1
07 septembre 1521,3,2,1.13,1
05 octobre 1521,3.94,2.75,1.5,1.25
02 novembre 1521,4.75,3,2,1.31
07 décembre 1521,4.75,3,2,1.31
04 janvier 1522,4.5,3,2,1.38
01 février 1522,4.38,3.06,2.38,1.31
01 mars 1522,4.38,2.88,2,1.38
05 avril 1522,5,3.5,2.88,1.5
03 mai 1522,4.5,2.69,2.5,1.56
07 juin 1522,5,3,2.38,1.5
05 juillet 1522,5.75,2.75,2,1.63
02 août 1522,2.13,0.94,0..88,1.13
06 septembre 1522,1.75,1,0.81,1
04 octobre 1522,1.81,1,0.75,1.19
08 novembre 1522,1.67,1,0.88,1.19
06 décembre 1522,1.69,0.88,0.81,1.06
03 janvier 1523,1.67,0.88,0.75,1.06
07 février 1523,1.56,0.81,0.75,1.06
07 mars 1523,1.5,0.81,0.69,1.06
04 avril 1523,1.38,0.75,0.63,0.94
02 mai 1523,1.35,0.63,0.63,0.88
06 juin 1523,1.33,0.63,0.56,0.81
04 juillet 1523,1.25,0.63,0.63,0.81
01 août 1523,1.44,0.63,0.5,0.81
05 septembre 1523,1.35,0.69,0.5,0.75
03 octobre 1523,1.5,0.75,0.63,0.88
07 novembre 1523,1.5,0.75,0.63,0.94
05 décembre 1523,1.38,0.75,0.69,0.83
02 janvier 1524,1.88,0.88,0.88,1
06 février 1524,2.33,1.38,1.25,0.94
05 mars 1524,2.75,1.38,1.31,1.06
02 avril 1524,2.38,1.38,1.31,1
07 mai1524,4.25,2.75,2.19,1.13
04 juin 1524,4.25,2.68,2.25,1.35
02 juillet 1524,4,1.88,1.75,1.38
06 août 1524,4,2.75,1.5,1.31
03 septembre 1524,4.25,3.25,1.69,1.56
01 octobre 1524,5,3.13,2.31,1.63
05 novembre 1524,4.75,3.38,2.19,1.5
03 décembre 1524,4.63,3.25,2.25,1.56
07 janvier 1525,4.5,2.63,2.38,1.63
04 février 1525,4.17,2.5,2.13,1.44
04 mars 1525,4.25,2.75,2.5,1.56
01 avril 1525,4.17,3,2.5,1.38
06 mai 1525,3.5,2.44,2.13,1.06
03 juin 1525,3.63,2.13,1.75,1.25
01 juillet 1525,3.75,1.25,0.81,1.13
05 août 1525,1.88,0.94,0.81,0.94
02 septembre 1525,1.69,0.88,0.81,1.13
07 octobre 1525,1.75,0.81,0.81,1.13
04 novembre 1525,1.63,0.94,0.88,1.19
02 décembre 1525,1.69,1,0.88,1.25
06 janvier 1526,1.56,0.94,0.88,1.19
03 février 1526,1.63,0.75,0.75,1.13
03 mars 1526,1.63,0.88,0.75,1.19
07 avril 1526,1.5,0.81,0.75,1.13
05 mai 1526,1.48,0.69,0.63,1.06
02 juin 1526,1.44,0.63,0.69,1.02
07 juillet 1526,1.38,0.63,0.63,1.06
04 août 1526,1.25,0.69,0.63,1.06
01 septembre 1526,1.33,0.69,0.63,1.25
06 octobre 1526,1.44,0.81,0.75,1.31
03 novembre 1526,1.5,0.75,0.81,1.44
01 décembre 1526,1.5,0.88,0.77,1.38
05 janvier 1527,1.5,0.83,0.81,1.38
01 février 1527,1.5,0.81,0.75,1.25
02 mars 1527,1.5,0.94,0.88,1.38
06 avril 1527,1.56,0.94,1,1.38
04 mai 1527,1.56,0.88,1,1.5
01 juin 1527,1.75,1.13,1.06,1.63
06 juillet 1527,1.75,1.06,0.94,1.75
03 août 1527,1.88,0.94,0.75,1.5
07 septembre 1527,1.88,1,0.88,1.13
05 octobre 1527,2.5,1.5,1.13,1.38
02 novembre 1527,2.75,1.88,1.56,1.69
07 décembre 1527,2.73,1.63,1.38,1.38
04 janvier 1528,2.38,1.5,1.5,1.31
01 février 1528,2.13,1.5,1.25,1.25
07 mars 1528,2.31,1.5,1.31,1.38
04 avril 1528,2.19,1.44,1.25,1.25
02 mai 1528,2.19,1.38,1.25,1.19
06 juin 1528,2.25,1.25,1.06,1.23
04 juillet 1528,2.19,1.31,1.06,1.06
01 août 1528,2.19,1.25,1,1
05 septembre 1528,3.06,2,1.38,1.31
03 octobre 1528,3.31,2.63,1.5,1.38
07 novembre 1528,3.75,3,2.06,1.63
05 décembre 1528,3.5,2.19,1.75,1.5
02 janvier 1529,3.63,2.38,2,1.5
06 février 1529,3.63,2.38,1.88,1.5
06 mars 1529,3.5,2,1.88,1.38
03 avril 1529,3.52,2.06,1.81,1.38
05 mai 1529,4.63,3,2.5,1.75
02 juin 1529,4.5,2.63,2.5,1.75
03 juillet 1529,4.67,3,1.5,1.81
07 août 1529,4,1.81,2,1.5
04 septembre 1529,3.38,2.13,1.5,1.5
02 octobre 1529,3.5,2.81,1.5,1.63
06 novembre 1529,3.75,3,1.88,1.75
04 décembre 1529,3.63,2.38,2,1.56
08 janvier 1530,3.92,2.88,2,1.5
05 février 1530,3.69,2.5,2,1.63
05 mars 1530,3.63,2.5,2.13,1.63
02 avril 1530,3.13,2.19,1.63,1.56
07 mai 1530,3,2.38,1.63,1.5
04 juin 1530,3,2,1.63,1.63
02 juillet 1530,3.08,2.13,1.5,1.5
06 août 1530,3.04,2.06,1.56,1.75
03 septembre 1530,3.38,2.5,1.75,1.75
01 octobre 1530,3.63,3,2,1.94
05 novembre 1530,3.75,2.75,2,2
03 décembre 1530,3.63,2.56,2,2
07 janvier 1531,3.75,2.63,2.06,2.19
04 février 1531,3.63,,2.06,2.19
04 mars 1531,3.75,2.75,2.19,2
01 avril 1531,3.88,2.75,2.31,2
06 mai 1531,5.69,3.5,3.75,2
03 juin 1531,5.75,4.25,3.75,2.06
01 juillet 1531,6,3.75,3,1.63
05 août 1531,4.13,2.63,1.75,1.75
02 septembre 1531,4.38,3,2.13,1.75
07 octobre 1531,5.25,4,2.5,2.5
04 novembre 1531,5.25,4,3.13,2
02 décembre 1531,5.5,3.56,2.94,2.13
06 janvier 1532,5.25,3.5,3,2.25
03 février 1532,4.63,3,2.5,2.06
02 mars 1532,5.19,2.94,3,2
06 avril 1532,4.75,3,3,2
04 mai 1532,4.25,3.5,2.75,2
01 juin 1532,4,2.44,2,2.25
06 juillet 1532,3.5,2,1.25,1.66
03 août 1532,2.75,1.75,1,1.5
07 septembre 1532,2.63,1.56,1,1.56
05 octobre 1532,3,2.06,1.06,1.75
02 novembre 1532,2.63,1.88,1.13,1.63
07 décembre 1532,2.88,1.88,1.19,1.81
04 janvier 1533,2.88,1.75,1.13,1.69
01 février 1533,2.5,1.25,0.81,1.5
01 mars 1533,2.5,1.5,1,1.44
05 avril 1533,2,1.06,0.88,1.5
03 mai 1533,2.13,1.38,0.94,1.56
07 juin 1533,2.25,1.25,1,1.59
05 juillet 1533,2.44,1,0.81,1.5
 2 août 1533,2.5,1.13,0.75,1.38
06 septembre 1533,2.25,1.25,0.69,1.13
04 octobre 1533,2.38,1.38,0.75,1.44
05 novembre 1533,2.13,1.38,0.94,1.25
06 décembre 1533,2.17,1,0.81,1.13
03 janvier 1534,2.1,1,0.81,1.25
07 février 1534,2.06,1.06,0.81,1.25
07 mars 1534,2.06,1,0.75,0.81
04 avril 1534,2,0.81,0.81,1.13
02 mai 1534,1.75,1,0.69,1.19
06 juin 1534,2,0.88,0.75,1.31
04 juillet 1534,2,1,0.81,1.56
01 août 1534,2,0.88,0.88,2
05 septembre 1534,2,1.06,0.94,1.56
03 octobre 1534,2.13,1.13,0.94,1.63
07 novembre 1534,1.88,1,1,1.75
05 décembre 1534,1.94,1,1,1.56
02 janvier 1535,1.94,1.06,0.94,1.75
06 février 1535,2,1.06,1.13,1.88
06 mars 1535,1.88,0.94,1,1.69
03 avril 1535,1.69,1.06,1.06,1.63
01 mai 1535,1.69,1,0.94,1.63
05 juin 1535,1.75,1,1,1.44
03 juillet 1535,2,1.19,1,1.25
07 août 1535,2.13,1,0.75,1.13
04 septembre 1535,2.5,1.44,1,1.25
02 octobre 1535,2.75,1.63,1.06,1.25
06 novembre 1535,3.08,1.75,1.31,1.38
04 décembre 1535,2.88,1.69,1.31,1.25
01 janvier 1536,2.92,1.75,1.31,1.31
05 février 1536,2.98,1.75,1.38,1.19
04 mars 1536,3.44,2.13,1.56,1.25
01 avril 1536,3.35,2.06,1.56,1.31
06 mai 1536,3.13,1.88,1.44,1.63
03 juin 1536,3.13,1.88,1.5,1.56
01 juillet 1536,3.15,1.69,0.94,1.5
05 août 1536,3,1.88,1.25,1.44
02 septembre 1536,3,1.75,1.06,1.19
07 octobre 1536,2.56,1.94,1.25,1.44
04 novembre 1536,2.69,1.88,1.19,1.38
02 décembre 1536,2.63,1.75,1.25,1.31
06 janvier 1537,2.67,1.94,1.31,1.41
03 février 1537,2.69,1.88,1.25,1.31
03 mars 1537,2.69,1.63,1.25,1.42
07 avril 1537,2.63,1.88,1.25,1.38
05 mai 1537,2.38,1.38,1.13,1.31
09 juin 1537,2.1,1.31,1,1.5
07 juillet 1537,2.06,1.13,1.06,1.56
01 août 1537,2.13,1.25,0.94,1.88
01 septembre 1537,1.85,1.06,0.81,1.5
06 octobre 1537,2,1.13,0.94,1.6
03 novembre 1537,1.75,1.13,1,1.63
01 décembre 1537,2.02,1.13,1,1.5
05 janvier 1538,1.98,1.06,0.94,1.56
01 février 1538,1.77,1,1,1.47
02 mars 1538,1.92,1.13,0.81,1.56
06 avril 1538,1.75,0.94,0.81,1.31
