Date,Nb arrestations
08/03/1913,1
01/02/1909,5
01/02/1911,1
01/02/1913,1
01/03/1911,2
01/03/1913,2
01/04/1909,9
01/05/1913,2
01/07/1908,29
01/10/1913,5
01/12/1911,10
02/03/1912,28
02/05/1919,1
02/07/1909,1
02/07/1914,2
02/08/1912,1
02/08/1913,1
03/01/1913,1
03/05/1913,1
03/06/1914,4
03/09/1909,7
03/10/1913,1
04/02/1913,7
04/03/1912,35
04/03/1913,1
04/04/1913,5
04/05/1914,1
04/07/1906,3
04/07/1912,1
04/08/1909,2
04/08/1912,1
04/09/1909,1
04/10/1912,1
04/11/1913,1
04/12/1909,2
05/02/1913,2
05/03/1912,49
05/03/1913,1
05/05/1911,1
05/05/1913,4
05/07/1913,2
05/08/1914,1
05/10/1909,2
05/12/1910,1
05/12/1912,1
06/03/1912,17
06/04/1914,2
06/05/1913,4
06/09/1909,5
06/11/1912,4
06/12/1909,5
07/02/1912,1
07/02/1913,5
07/03/1912,43
07/03/1913,1
07/06/1913,3
07/07/1914,1
07/08/1912,4
07/09/1909,1
07/10/1913,10
07/12/1909,1
08/01/1913,1
08/02/1913,1
08/04/1913,4
08/06/1913,1
08/06/1914,3
08/07/1913,5
08/07/1914,4
08/12/1909,1
09/01/1913,3
09/03/1911,1
09/03/1912,52
09/03/1913,1
09/03/1914,9
09/05/1911,1
09/05/1914,2
09/06/1913,1
09/07/1909,129
09/08/1909,1
09/08/1913,1
09/10/1909,12
09/10/1913,1
09/10/1919,1
09/12/1909,2
10/01/1912,1
10/02/1913,3
10/03/1914,1
10/04/1913,2
10/06/1913,2
10/06/1914,1
10/07/1912,2
10/07/1913,4
10/08/1909,1
10/10/1913,1
10/11/1909,3
10/12/1913,4
11/02/1914,12
11/03/1912,8
11/03/1913,7
11/03/1914,2
11/04/1914,1
11/08/1913,13
11/12/1912,1
12/02/1908,50
12/02/1909,1
12/03/1912,30
12/03/1914,1
12/04/1913,2
12/05/1914,1
12/07/1909,17
12/07/1913,1
12/07/1914,1
12/12/1911,18
13/03/1912,2
13/03/1913,1
13/05/1914,1
13/06/1914,3
13/07/1914,2
13/11/1909,2
13/12/1906,1
13/12/1909,1
13/12/1911,6
13/12/1913,1
14/02/1907,56
14/02/1908,10
14/02/1913,2
14/03/1912,3
14/03/1913,3
14/03/1914,6
14/07/1909,2
14/10/1908,37
14/10/1912,1
14/10/1913,2
14/10/1918,1
14/11/1913,1
14/12/1906,6
14/12/1907,1
14/12/1909,2
14/12/1911,1
15/01/1910,3
15/03/1913,1
15/05/1914,3
15/06/1914,1
15/07/1912,1
