Année;Guerre;Poste et télégraphie;Affaires étrangères;Cultes;Instruction publique;Colonies
1881;624755;2026;14712;46266;83073;0
1882;639168;2185;16731;52156;129101;0
1883;615671;2364;15108;51167;146379;0
1884;589594;2287;13192;50421;166202;0
1885;600022;2296;14510;46530;167451;0
1886;581595;2142;21340;45947;134676;0
1887;555787;2273;55438;42219;133644;43079
1888;547540;2203;18336;44760;133714;64940
1889;565840;2617;16103;44651;135759;59517
1890;580236;2436;17232;44471;182645;57592
1891;708967;2080;16476;44258;177378;68682
1892;677887;2496;16314;43006;168630;81064
1893;649534;2933;16664;43240;173003;78294
1894;647636;2412;16892;43332;191577;81950
1895;637033;2599;16330;43180;190554;78899
1896;645639;2586;19449;42828;193707;85343
1897;683615;2452;16811;42620;201405;106782
1898;658578;2572;16553;42779;199078;111537
1899;664417;2708;15732;42712;203462;103697
1900;673282;4402;16844;42695;204856;126538
1901;726835;3547;21603;42553;205665;124334
1902;731712;4062;18196;42510;208489;111802
1903;706221;7778;17191;42146;216765;102556
1904;702419;3967;16813;42082;224422;105232
1905;715112;3831;18332;40959;236414;101530
1906;859550;4611;17761;802;250849;103332
1907;821955;5039;20895;619;250377;96247
1908;835269;5127;20475;479;267503;94034
1909;871130;5168;22679;483;272437;92012
1910;914604;6480;20481;469;279364;95257
1911;1015432;5036;25619;0;296563;99089
1912;1088152;8155;20680;0;295245;100084
1913;1262067;4839;21190;0;304852;103178
1914;6048228;3793;25482;0;320889;99890
