,Dette publique et dotations des pouvoirs publics ,Justice,Cultes,Affaires étrangères ,Intérieur,Finances (7)(8),"Guerre, Armement et Fabrication de Guerre ",Marine ,Air,Instruction publique,Agriculture
1868,550541,33181,48499,13312,59603,22102,393632,155580,,23813,
1869,554817,36081,48943,13797,59980,20362,380106,163281,,25643,12189
1870,587334,35117,48150,12974,60610,33639,406605,195953,,26652,16719
1871-1875,1113240,33947,52340,11536,87809,74759,457777,154040,,34014,19463
1876-1880,1215238,35293,52994,13541,94578,28766,542937,189656,,55973,33328
1881,1254000,36187,46266,14712,76473,23076,624755,207104,,83073,10114
1882,1297000,36674,52156,16731,83205,24293,"639,68",222047,,129101,19016
1883,1328537,36519,51167,15108,68506,26343,615671,259109,,146379,22412
1884,1295149,38801,50421,13192,90599,24665,589594,298444,,166202,21805
1885,1320727,39560,46530,14510,83079,23212,600022,309437,,167451,20541
1886,1344990,39019,45947,21340,68410,24155,581595,272211,,134676,21808
1887,1287698,37851,42219,55438,67101,22060,555787,199839,,133644,21639
1888,1287714,37353,44760,18336,73834,23406,547540,180994,,133714,21496
1889,1283847,37550,44651,16103,71558,26855,565840,199027,,135759,21637
1890,1284043,37128,44471,17232,76805,25519,580236,201389,,182645,20557
1891,1254000,37295,44258,16476,82001,25812,708967,229987,,177378,20345
1892,1281972,34934,43006,16314,66950,39164,677887,251977,,168630,26906
1893,1269000,35291,43240,16664,71648,28000,649534,253303,,173003,37442
1894,1234536,35243,43332,16892,73657,31826,647636,274186,,191577,31946
1895,1217926,34812,43180,16330,73253,28482,637033,268104,,190554,30524
1896,1215166,34843,42828,19449,72889,28650,645639,264931,,193707,31131
1897,1250550,34917,42620,16811,73587,29764,683615,260776,,201405,36261
1898,1251530,35212,42779,16553,74765,29222,658578,289663,,199078,31344
1899,1247950,35249,42712,15732,73482,28870,664417,322347,,203462,32122
1900,1254749,35482,42695,16844,78623,28804,673282,372952,,204856,36951
1901,1258879,35452,42553,21603,78746,29496,726835,344359,,205665,37720
1902,1260185,37305,42510,18196,77100,31134,731712,298575,,208489,36385
1903,1186451,37382,"42,146",17191,79778,28590,706221,304692,,216765,34900
1904,1218682,37624,42082,16813,80710,26335,702419,292964,,224422,38056
1905,1219019,37624,40959,18332,85637,26368,715112,316012,,236414,39009
1906,1231744,38279,802,17761,79337,49506,859550,305902,,250849,38477
1907,1239268,39046,619,20895,106764,48684,821955,315704,,250377,44808
1908,1272395,40482,479,20475,119614,51750,835269,330784,,267503,46372
1909,1273662,39923,483,22679,141009,66378,871130,347690,,272437,47342
1910,1277279,50688,469,20481,155841,50923,914604,363625,,279364,55129
1911,1285096,58394,,25619,132335,57501,1015432,518886,,296563,58859
1912,1292838,60488,,20680,150239,56609,1088152,496687,,295245,58095
1913,1304256,61094,,21190,149579,57441,1262067,552996,,304852,54291
1914,1294633,56930,,25482,190540,66724,6048228,651323,,320889,38906
1915,1760163,52350,,30159,376003,111343,15987649,581574,,321771,39843
1916,2994026,52643,,50928,435452,121490,21610446,821283,,333285,31138
1917,4269204,58709,,53590,554187,111127,25685619,1059652,,394291,166528
1918,5246786,69280,,29278,187523,249871,2929,,,532045,49587
1919,6380569,87946,,38589,210149,295288,3678,,,863926,84150
1920,10087289,139831,,219373,1263240,393743,6107163,900522,,1190882,139704
1921,10756804,154090,,210540,649876,526760,5370561,1090673,,1247504,130306
1922,12357626,182692,,163470,292084,687178,4747088,1230331,,1436108,144820
1923,11786719,182087,,171384,244979,948851,4310688,1102004,,1556876,130370
1924,12372587,187741,,190688,263282,4541611,4082441,1479736,,1584741,141682
1925,17837531,203184,,155724,446941,995282,4344123,1311653,,2151382,193205
1926,22406200,242571,,187011,456570,1083460,5063362,1608304,,2429202,219219
1927,20234696,306998,,192534,855363,1728533,7869770,239657,,2795304,305529
1928,19661719,298861,,234458,948252,3129309,6161605,2571071,215393,3037374,404895
1929-1930,26445246,449266,,401655,1723693,919196,7890480,3410634,1608386,4261977,724696
1930-1931 ,21497914,391051,,296925,1706305,1046910,10148677,3061171,2115923,3786250,720813
1931-1932 ,20671940,415515,,324137,1557803,815417,7590780,3311340,2022534,4028571,534533
19325,16206092,311628,,254793,1155145,547189,5097162,2256959,1454983,3083416,461702
1933,19414380,399380,,299712,1530958,3579359,7023795,2782895,1903532,4039260,581212
1934,20609491,387643,,280855,1288007,1067051,5909237,2724605,1558152,3905812,381166
1935,20462360,363169,,287732,1296740,1005135,5926128,2804123,1639765,3791374,427631
1936,20221688,385042,,264039,1385084,1220359,5193371,1593408,914530,377744,499583
1937,18342220,395653,,393922,1926484,895934,6638116,2102393,1202617,4072784,462991
,,697,,354368,354368,1792244,5173827,2514603,3144158,560353,574633
