"Noms";" Code ";" Histoire ";" Belles lettres ";" Sciences et arts "
"Amiens";2;30;9;61
"Angers";3;20;0;80
"Arras";5;10;0;90
"Besançon";7;38;2;60
"Bourg";10;0;0;100
"Caen";12;2;1;97
"Châlons";13;0;0;100
"Dijon";16;9;1;90
"Grenoble";17;16;1;83
"Lyon";18;0;0;100
" Marseille";19;15;27;58
"Metz";20;6;1;93
"Montauban";21;9;30;61
"Nancy";23;13;1;86
"Nancy2";"23bis";0;50;50
"Nîmes";24;1;53;46
"Orléans";25;0;0;100
"Pau";26;17;21;62
"La Rochelle";27;41;24;35
"Rouen";28;26;18;56
"Soissons";29;22;73;5
"Toulouse ARS";30;5;80;15
"Toulousebis";"30bis";19;25;56
"Toulouse Jeux Floraux";31;1;22;77
"Valence";32;0;0;100
"Villefranche";33;50;50;1
"AF ";"AF ";24;42;34
"ARS";"ARS";0;0;100
