Id,Label,Type,genre,year,language,topic_id,label_thema,nb_auteurs
"Spooner, Frank_2025-11-19T21:24:01","Spooner, Frank",author,male,,,,,
"de Roover, Raymond_2025-11-19T21:24:01","de Roover, Raymond",author,male,,,,,
"Kirshner, J._2025-11-19T21:24:01","Kirshner, J.",author,unknown,,,,,
"Popovic, Vladislav_2025-11-19T21:24:06","Popovic, Vladislav",author,male,,,,,
"Bosković, D._2025-11-19T21:24:06","Bosković, D.",author,unknown,,,,,
"Duval, Noël_2025-11-19T21:24:06","Duval, Noël",author,male,,,,,
"Gros, Pierre_2025-11-19T21:24:06","Gros, Pierre",author,male,,,,,
"BROMLEY, R. J._2025-11-19T21:25:11","BROMLEY, R. J.",author,male,,,,,
"SYMANSKI, RICHARD_2025-11-19T21:25:11","SYMANSKI, RICHARD",author,male,,,,,
"GOOD, CHARLES M._2025-11-19T21:25:11","GOOD, CHARLES M.",author,male,,,,,
"Louys, Daniel_2025-11-19T21:30:38","Louys, Daniel",author,male,,,,,
"Poliakov, Léon_2025-11-19T21:30:38","Poliakov, Léon",author,male,,,,,
"Taylor, Jerome_2025-11-19T21:30:54","Taylor, Jerome",author,male,,,,,
"Nelson, Alan H._2025-11-19T21:26:43","Nelson, Alan H.",author,male,,,,,
"Hussey, S. S._2025-11-19T21:30:58","Hussey, S. S.",author,male,,,,,
"Mann, Jill_2025-11-19T21:24:47","Mann, Jill",author,female,,,,,
"Twycross, Meg_2025-11-19T21:27:31","Twycross, Meg",author,female,,,,,
"Frank, Robert Worth_2025-11-19T21:30:58","Frank, Robert Worth",author,male,,,,,
"Ingham, Norman W._2025-11-19T21:23:36","Ingham, Norman W.",author,male,,,,,
"Zenkovsky, Serge A._2025-11-19T21:31:40","Zenkovsky, Serge A.",author,male,,,,,
"Menu, Bernadette_2025-11-19T21:50:16","Menu, Bernadette",author,female,,,,,
"Daux, Georges_2025-11-19T21:50:24","Daux, Georges",author,male,,,,,
"Mélèze-Modrzejewski, Joseph_2025-11-19T21:34:35","Mélèze-Modrzejewski, Joseph",author,male,,,,,
Humbert_2025-11-19T21:50:17,Humbert,author,male,,,,,
"Karabélias, Evangélos_2025-11-19T21:50:18","Karabélias, Evangélos",author,male,,,,,
"Szlechter, E._2025-11-19T21:50:14","Szlechter, E.",author,male,,,,,
"Empey, C. A._2025-11-19T21:50:39","Empey, C. A.",author,male,,,,,
"Simms, Katharine_2025-11-19T21:40:12","Simms, Katharine",author,female,,,,,
"Fischer-Galati, Stephen_2026-01-14T22:11:08","Fischer-Galati, Stephen",author,male,,,,,
"Cront, Gheorghe_2026-01-15T08:59:16","Cront, Gheorghe",author,male,,,,,
"Bayer, Gerhard_2025-11-19T21:18:01","Bayer, Gerhard",author,male,,,,,
"Wiedermann, Hans-Georg_2025-11-19T21:18:01","Wiedermann, Hans-Georg",author,male,,,,,
"Olsson, Gunnar_2025-11-19T21:30:52","Olsson, Gunnar",author,male,,,,,
"Sagne, S_2025-11-19T21:21:33","Sagne, S",author,unknown,,,,,
"Knific, Timotej_2025-11-19T21:15:42","Knific, Timotej",author,male,,,,,
"Knific Lunder, Dragica_2025-11-19T21:17:57","Knific Lunder, Dragica",author,female,,,,,
"Dodwell, Barbara_2025-11-19T21:24:01","Dodwell, Barbara",author,female,,,,,
"Hilton, R. H._2025-11-19T21:20:34","Hilton, R. H.",author,male,,,,,
