date;Nbr_embarque
1817;404
1817;246
1817;405
1817;381
1817;578
1817;557
1817;234
1817;413
1817;368
1817;481
1817;195
1817;640
1817;544
1817;520
1817;528
1817;434
1817;599
1817;463
1817;519
1817;614
1817;607
1817;594
1817;511
1817;124
1817;444
1817;442
1817;137
1817;597
1817;546
1817;321
1817;401
1817;439
1817;738
1817;427
1817;388
1817;420
1817;500
1817;541
1817;813
1817;466
1817;490
1817;540
1817;282
1817;489
1817;464
1817;476
1817;604
1817;594
1817;496
1817;324
1817;382
1817;239
1817;229
1817;530
1817;606
1817;445
1817;637
1817;807
1818;449
1818;419
1818;421
1818;584
1818;633
1818;400
1818;441
1818;451
1818;428
1818;438
1818;479
1818;430
1818;345
1818;541
1818;522
1818;370
1818;225
1818;464
1818;341
1818;669
1818;487
1818;391
1818;286
1818;409
1818;441
1818;463
1818;444
1818;305
1818;659
1818;392
1818;300
1818;424
1818;816
1818;572
1818;405
1818;367
1818;274
1818;480
1818;288
1818;118
1818;569
1818;440
1818;291
1818;408
1818;335
1818;358
1818;483
1818;492
1818;334
1818;304
1818;544
1818;331
1818;375
1820;182
1820;196
1816;556
1816;564
1816;289
1819;200
1820;538
1821;273
1821;150
1821;93
1820;496
1819;331
1821;556
1821;634
1821;224
1821;436
1821;434
1821;129
1821;340
1821;273
1820;170
1821;158
1822;808
1822;460
1822;492
1822;428
1822;470
1822;166
1822;465
1822;389
1822;467
1822;431
1822;532
1822;529
1822;470
1822;631
1822;462
1822;504
1822;420
1822;481
1822;520
1822;577
1822;681
1822;536
1822;623
1822;305
1822;465
1822;460
1822;477
1822;479
1822;672
1822;747
1822;448
1822;313
1822;418
1822;390
1822;449
1822;425
1822;459
1822;302
1822;760
1822;545
1822;408
1822;467
1822;733
1822;467
1822;655
1822;595
1822;472
1822;525
1822;300
1822;109
1822;515
1822;438
1822;410
1822;384
1822;519
1822;499
1822;574
1822;431
1822;617
1822;497
1822;338
1822;639
1822;451
1822;467
1822;228
1822;201
1822;170
1822;173
1822;152
1822;408
1822;70
1822;421
1822;307
1822;257
1822;371
1822;43
1822;55
1822;47
1822;304
1822;104
1822;419
1822;395
1822;268
1822;380
1822;198
1822;168
1822;179
1822;246
1822;332
1822;365
1822;186
1822;249
1822;327
1822;389
1822;178
1822;264
1822;214
1823;181
1822;314
1821;416
1821;557
1821;425
1821;554
1821;992
1821;362
1821;522
1821;346
1821;508
1821;476
1821;451
1821;432
1821;433
1821;434
1821;337
1821;500
1821;384
1821;455
1821;581
1821;431
1821;312
1821;450
1821;374
